created_at,user.location,user.followers_count,user.friends_count,text,place.bounding_box.coordinates,place.full_name,place.country,place.country_code,place.place_type
2019-02-19 10:38:53,Nigeria,952,1194,"Swipe to see before and after small garden corner.. Designed by @DecorMasterz 

#DecorMasterFinishes… https://t.co/lrs7Dpd631","[[[2.665436, 4.197406], [2.665436, 13.888115], [14.677795, 13.888115], [14.677795, 4.197406]]]",Nigeria,Nigeria,NG,country
2019-02-19 10:40:08,Lagos,1094500,1719,"#MakeUnaWakeUpShow  #MakeUnaWakeupShow wit 
@yawazobiafm @TUALEBABA1 @FinaNapoleon
 
#NP Woman @alhajitekno… https://t.co/cmeCpYWAzV","[[[2.665436, 4.197406], [2.665436, 13.888115], [14.677795, 13.888115], [14.677795, 4.197406]]]",Nigeria,Nigeria,NG,country
2019-02-19 10:40:09,Lagos,1094500,1719,"#MakeUnaWakeUpShow  #MakeUnaWakeupShow wit 
@yawazobiafm @TUALEBABA1 @FinaNapoleon
 
#NP My Woman @patorankingfire… https://t.co/RGjp6jKo6S","[[[2.665436, 4.197406], [2.665436, 13.888115], [14.677795, 13.888115], [14.677795, 4.197406]]]",Nigeria,Nigeria,NG,country
2019-02-19 10:43:30,"Nairobi, Kenya",100,132,"At Italian kitchens we aim at meeting and surpassing our clients expectations. 
🤝
#kitchen #KitchenChampion… https://t.co/UTqcxLlwUg","[[[33.910501, -4.767236], [33.910501, 4.631608], [41.899867, 4.631608], [41.899867, -4.767236]]]",Kenya,Kenya,KE,country
2019-02-19 10:43:35,NAIROBI-KENYA,517,555,Link with your circles #TuesdayThoughts,"[[[36.024909, -0.358888], [36.024909, -0.25464], [36.161105, -0.25464], [36.161105, -0.358888]]]","Nakuru, Kenya",Kenya,KE,city
2019-02-19 10:43:55,"California, USA",910,2159,"@neeratanden The only reason that the GOP is still in power.  Because they spend more money, and time using the bes… https://t.co/qOQWOXh2tr","[[[-85.847503, 38.108678], [-85.847503, 38.282432], [-85.597188, 38.282432], [-85.597188, 38.108678]]]","Louisville, KY",United States,US,city
2019-02-19 10:44:46,"Kano, Nigeria",1641,1911,Learn something new everyday. Be positive and walk with good people. Focus on your area of strength and work on you… https://t.co/mIl1Wvxg99,"[[[8.446102, 11.929582], [8.446102, 11.98711], [8.495034, 11.98711], [8.495034, 11.929582]]]","Rijiyar Zaki, Nigeria",Nigeria,NG,city
2019-02-19 10:45:56, Peach State ,117,39,#TuesdayThoughts This #NingSang couple is AMAZING ✨💕🌂 Good morning world 💫 #EverNight #NingQue #ArthurChen… https://t.co/y4JdbJksUp,"[[[-84.596805, 33.895088], [-84.596805, 34.001159], [-84.46746, 34.001159], [-84.46746, 33.895088]]]","Marietta, GA",United States,US,city
2019-02-19 10:47:23,Marbella,402,674,#tuesdaythoughts do you want your next 12 months to look like your last? Don't wait till the end of the year and th… https://t.co/iKEUGWdrvS,"[[[-5.014957, 36.459841], [-5.014957, 36.555149], [-4.730868, 36.555149], [-4.730868, 36.459841]]]","Marbella, Spain",Spain,ES,city
2019-02-19 10:47:34,Wavertree Liverpool,121,228,"🔥New in Stock!  #LandRover #RangeRoverSport SPORT SVR 5.0 SVR LHD 5d AUTO 567 BHP

 ✅FINANCE OPTIONS AVAILABLE
 📲01… https://t.co/tvARk6V0mW","[[[-3.008791, 53.36489], [-3.008791, 53.474867], [-2.822063, 53.474867], [-2.822063, 53.36489]]]","Liverpool, England",United Kingdom,GB,city
