created_at,user.location,user.followers_count,user.friends_count,text
2019-02-19 11:10:53,,3,30,You can’t see the clear picture of the future if you are still living in the past.#TuesdayThoughts
2019-02-19 11:10:55,"London, England",1069,1421,"Acoustic guitar covers of rock popular songs by Rock Music 
#acoustic #acousticguitar #coversong #rock #rockmusic… https://t.co/LmrDLEHntb"
2019-02-19 11:10:55,"Bengaluru South, India",44,655,I completly agree
2019-02-19 11:10:58,"Quincy, MA",1258,928,"This world can hurt you but just don't let it break you.

#TuesdayThoughts 
Have a great day/evening everyone https://t.co/Frnd0CjBAm"
2019-02-19 11:11:00,Birmingham ღ Kaneohe ღ Asheville ღ,33333,27921,"""A broken heart is also an open heart. Thank you for your willingness. Your willingness is all it takes for healing… https://t.co/GqPKyVpVlR"
2019-02-19 11:11:00,"Leeds, England",38951,883,"Tuesday troubles? 😫

Not here...😍 #TuesdayThoughts https://t.co/Q5tN9ZSLka"
2019-02-19 11:11:06,,1728,4627,"#TuesdayThoughts #singersongwriter  please share, trying to get noticed ❤️🎼 https://t.co/aU8kw7xkZy"
2019-02-19 11:11:06,"Belfast, Northern Ireland",658,1369,Another fantastic #review from a happy candidate for BlackFox! This one is for #Engineering &amp; Manufacturing consult… https://t.co/CXGh2nnaoJ
2019-02-19 11:11:07,London,1592,854,This thread is really very funny #TuesdayThoughts and might help to cheer up your day #fun #humour
2019-02-19 11:11:11,UK,2844,2174,Coolest @Starbucks ever? ☕ #TuesdayThoughts https://t.co/RJ8YCJecmB
2019-02-19 11:11:14,"Morpeth, Northumberland",3590,2937,"Make a  plan to make it happen. If you don't, it won't! #quote #TuesdayThoughts #TuesdayMotivation #FunnyPicture https://t.co/pkqsV89Czp"
2019-02-19 11:11:16,"Ohio, USA and the World.",10277,10601,"#myrantandrave
The fact that trump, small 't', is our president, small 'p', makes me feel dirty, cheap, amd embarra… https://t.co/Rh3z12BbFv"
2019-02-19 11:11:16,"North West, England",1250,3950,"📣 Hand picked from limited #clearance #sale lines - come and discover this Clearance ELC™, My First Gadget Set!

Ou… https://t.co/4s2mkXYxb6"
2019-02-19 11:11:18,"Exmoor National Park, England",486,246,#TuesdayThoughts let's keep @ExmoorNP special by reducing plastic. #plasticfree #Exmoor https://t.co/3G3z7MnupY
2019-02-19 11:11:18,"England, United Kingdom",7945,8739,"What is the BEST Thing about being a Writer ..? A blog. 
https://t.co/Z908QCeZHz
#TuesdayThoughts #amwriting #books https://t.co/H8taJpWKuk"
2019-02-19 11:11:19,"Lagos, Nigeria",1527,1552,"Keep going, don't stop!
#TuesdayMotivation 
#TuesdayThoughts"
2019-02-19 11:11:19,England,47,72,"Happy Tuesday, how is your week going so far? What are your #TuesdayThoughts?"
2019-02-19 11:11:20,"Pensacola, FL ",213,390,"Just a  reminder: Do NOT check up on the toxic person you left , stopped TALKIN to , or stopped being friends with.… https://t.co/E7h8h1kYDp"
2019-02-19 11:11:20,https://www.amazon.com/dp/B07KZSBL3C,0,0,"do more with today

Sidra Shaukat

#TuesdayThoughts 
#TuesdayMotivation"
2019-02-19 11:11:21,"Philly, NYC, Toronto, San Fran, LA & UK",1382,2863,"#TuesdayThoughts This ""Molecular Coffee"" is Brewed Entirely Without Beans - .⁦@futurism⁩ Atomo #Coffee #LabToTable… https://t.co/vc0YI3RmYD"
2019-02-19 11:11:21,💗,4,127,"#Twitter has no ethics only TRUTH , Good day Bye #TuesdayThoughts"
2019-02-19 11:11:27,Germany,231,225,"Here sleeps a girl with a head full of magical dreams, a heart full of wonder and hands that will shape the world.… https://t.co/z58E19ulqz"
2019-02-19 11:11:32,"East Midlands, UK",8403,4144,"""Teaching Digital Subjects Alone Won't Close The Skills Gap"" - interesting read via @Forbes https://t.co/UHWvSsiemd… https://t.co/GFjp17LBa6"
