created_at,user.location,user.followers_count,user.friends_count,text
2019-02-28 06:59:05,"Weddington, NC",53,199,Trump sent letters to his schools threatening them not to release his test scores: Cohen https://t.co/QEoisGUTsr
2019-02-28 06:59:06,"Summerville, S. Carolina",2177,4406,At least the eagles are healthy 🤷🏿‍♂️
2019-02-28 06:59:06,"Beachwood, NJ ",379,192,I love the smell of napalm (or Trump tweets) in the morning.
2019-02-28 06:59:06,NM,4268,4992,"https://t.co/eP18VsC5uA
Trump-Kim talks end 'without agreement'"
2019-02-28 06:59:06,"Toronto, Ontario",76,578,bravo!!!!TRUMP!!!AMERICA!!!SOROS BLACK MAGIC WORK!!!VERY GOOD!!!AND MY PRAERS!!!BUT I AM PRAY FOR FREE FOR TROUBLE!
2019-02-28 06:59:06,Fudge Motors Inc.,62,407,@em_gard10 @ScottPresler I agree. I'll also wait. But just to be clear. It's not the right that claimed that Cohen… https://t.co/gLxht6R3pS
2019-02-28 06:59:06,"California, USA",7464,6881,"WH says no deal reached between Trump and Kim Jong Un.  Sanders says in statement: ""No agreement was reached at thi… https://t.co/GD4ZTkXPsT"
2019-02-28 06:59:07,United States,28756,28907,@alicia45KAG And this... AOC basically twisted EVERYTHING to try and make Trump look bad. She needs to be held acco… https://t.co/QH4npXzkj5
2019-02-28 06:59:07,,232,300,@kimhurdman @nickthetraveler @DavidNakamura @ShawnReynolds_ Trump gave it up and still didn't get invited to the prom
2019-02-28 06:59:04,"Nashville, TN",63,213,@MSNBC Trump likely will only serve one term unless he refuses to leave office and must be dragged out by force. Wh… https://t.co/wf1tmE5Qp9
2019-02-28 06:59:07,,2638,2479,At some point in time this behavior will be dealt with in a not so pleasant way!!
2019-02-28 06:59:04,The White House+points afield,17632,871,Earlier from CNN -- with news the Trump-Kim summit was cut short. A reminder: Stephen Biegun and Trump's team had b… https://t.co/VwwnJ2Btd5
2019-02-28 06:59:07,San Francisco,6780,6581,"@Feisty_FL WHEN President Trump wins 2nd term will Democrats continue non-stop investigations and resistance?

Demo… https://t.co/ga0ljXKOw3"
2019-02-28 06:59:07,Delhi,449,1095,Somebody gonna hurt real bad...!! #Trump #Kim @CNN https://t.co/OhHfqAsX4t
2019-02-28 06:59:07,"Texas, USA",4,117,"Keep in mind every time they call #Cohen a fraud, deceptive &amp; my fav “liar, liar, pants on fire” - this is who… https://t.co/ykRttWmJ1m"
2019-02-28 06:59:08,"North Carolina, USA",5196,5391,"@ScrewedHumans Me neither, shame Trump can't stay President for 10 yrs"
2019-02-28 06:59:08,"Tokyo, Japan",30324,0,White House: No deal at Trump-Kim summit https://t.co/pI0D9hXS3q
2019-02-28 06:59:08,Eudora ks,56,129,@WhiteHouse For Trump
2019-02-28 06:59:08,Kailua Oahu Hawaii,175,766,@BBCWorld @BBCBreaking Trump didn’t want to eat Kim Chee
2019-02-28 06:59:09,Brisbane,2313,1739,So much winning. So much deal.
2019-02-28 06:59:09,"St John,New Brunswick,Canada",1253,1626,"@Kris_Sacrebleu You mean you didn't lock the door yet? Dammit, I TOLD you people to lock the damn door the moment Trump left! 🙄😉😃"
2019-02-28 06:59:09,Austin,1449,1337,It will be interesting to see how Trump twists this into a win. Maybe he'll lie.
2019-02-28 06:59:09,"Bay Area, California",1538,1457,"#PUTIN
is pulling the
#STRINGS
of
#NorthKorea
#SaudiArabia
#ISREAL
#SYRIA
#YEMEN
#Loo

APPARENTLY 
#KimJungUN
is ti… https://t.co/vyJWQEG37g"
2019-02-28 06:59:09,Georgia ,769,771,"Michael Cohen is a piece of shit for helping Trump, but he does get some points for me just bc he spilling all the tea now💀"
2019-02-28 06:59:09,,540,1861,"#Trumpland #JonesTown #BatShitCrazyDC

People say this was a ‘character assassination’

Well, you’ve got to have ch… https://t.co/kp8WR1MNoy"
