,date,user_loc,followers,friends,message,tokens,no,predictions
0,2/19/2019 11:10,,3,30,you can’t see the clear picture of the future if you are still living in the past.tuesdaythoughts,"['can’t', 'see', 'clear', 'picture', 'future', 'still', 'living', 'pasttuesdaythoughts']","['can’t', 'see', 'clear', 'picture', 'future', 'still', 'living', 'pasttuesdaythoughts']",0
1,2/19/2019 11:10,"London, England",1069,1421,acoustic guitar covers of rock popular songs by rock music acoustic acousticguitar coversong rock rockmusic… ,"['acoustic', 'guitar', 'covers', 'rock', 'popular', 'songs', 'rock', 'music', 'acoustic', 'acousticguitar', 'coversong', 'rock', 'rockmusic…']","['acoustic', 'guitar', 'covers', 'rock', 'popular', 'songs', 'rock', 'music', 'acoustic', 'acousticguitar', 'coversong', 'rock', 'rockmusic…']",4
2,2/19/2019 11:10,"Bengaluru South, India",44,655,i completly agree,"['completly', 'agree']","['completly', 'agree']",0
3,2/19/2019 11:10,"Quincy, MA",1258,928,this world can hurt you but just don't let it break you. tuesdaythoughts have a great day/evening everyone ,"['world', 'hurt', 'dont', 'let', 'break', 'tuesdaythoughts', 'great', 'dayevening', 'everyone']","['world', 'hurt', 'dont', 'let', 'break', 'great', 'dayevening', 'everyone']",0
4,2/19/2019 11:11,Birmingham ღ Kaneohe ღ Asheville ღ,33333,27921,a broken heart is also an open heart. thank you for your willingness. your willingness is all it takes for healing… ,"['broken', 'heart', 'also', 'open', 'heart', 'thank', 'willingness', 'willingness', 'takes', 'healing…']","['broken', 'heart', 'also', 'open', 'heart', 'thank', 'willingness', 'willingness', 'takes', 'healing…']",0
5,2/19/2019 11:11,"Leeds, England",38951,883,tuesday troubles?  not here  tuesdaythoughts ,"['tuesday', 'troubles', 'tuesdaythoughts']",['troubles'],0
6,2/19/2019 11:11,,1728,4627,"tuesdaythoughts singersongwriter please share, trying to get noticed  ","['tuesdaythoughts', 'singersongwriter', 'please', 'share', 'trying', 'get', 'noticed']","['singersongwriter', 'please', 'share', 'trying', 'get', 'noticed']",0
7,2/19/2019 11:11,"Belfast, Northern Ireland",658,1369,another fantastic review from a happy candidate for blackfox this one is for engineering &amp; manufacturing consult… ,"['another', 'fantastic', 'review', 'happy', 'candidate', 'blackfox', 'one', 'engineering', 'amp', 'manufacturing', 'consult…']","['another', 'fantastic', 'review', 'happy', 'candidate', 'blackfox', 'one', 'engineering', 'amp', 'manufacturing', 'consult…']",0
8,2/19/2019 11:11,London,1592,854,this thread is really very funny tuesdaythoughts and might help to cheer up your day fun humour,"['thread', 'really', 'funny', 'tuesdaythoughts', 'might', 'help', 'cheer', 'day', 'fun', 'humour']","['thread', 'really', 'funny', 'might', 'help', 'cheer', 'day', 'fun', 'humour']",0
9,2/19/2019 11:11,UK,2844,2174,coolest  ever?  tuesdaythoughts ,"['coolest', 'ever', 'tuesdaythoughts']","['coolest', 'ever']",4
10,2/19/2019 11:11,"Morpeth, Northumberland",3590,2937,"make a plan to make it happen. if you don't, it won't quote tuesdaythoughts tuesdaymotivation funnypicture ","['make', 'plan', 'make', 'happen', 'dont', 'wont', 'quote', 'tuesdaythoughts', 'tuesdaymotivation', 'funnypicture']","['make', 'plan', 'make', 'happen', 'dont', 'wont', 'quote', 'tuesdaymotivation', 'funnypicture']",0
11,2/19/2019 11:11,"Ohio, USA and the World.",10277,10601,"myrantandrave the fact that trump, small 't', is our president, small 'p', makes me feel dirty, cheap, amd embarra… ","['myrantandrave', 'fact', 'trump', 'small', 'president', 'small', 'p', 'makes', 'feel', 'dirty', 'cheap', 'amd', 'embarra…']","['myrantandrave', 'fact', 'trump', 'small', 'president', 'small', 'p', 'makes', 'feel', 'dirty', 'cheap', 'amd', 'embarra…']",0
12,2/19/2019 11:11,"North West, England",1250,3950," hand picked from limited clearance sale lines  come and discover this clearance elc™, my first gadget set ou… ","['hand', 'picked', 'limited', 'clearance', 'sale', 'lines', 'come', 'discover', 'clearance', 'elc™', 'first', 'gadget', 'set', 'ou…']","['hand', 'picked', 'limited', 'clearance', 'sale', 'lines', 'come', 'discover', 'clearance', 'elc™', 'first', 'gadget', 'set', 'ou…']",0
